recipe_title,description,preparation_time,category,instruction,calories,protein,carbs,fats,"list of ingredients used (ingredient_name, quantity, unit, calories)"
Classic Chocolate Chip Cookies (Style #110),"Warm, chewy homemade cookies packed generously with sweet semi-sweet chocolate chips.",20 mins,dessert,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (All-purpose flour, Butter). Step 3: Cook or assemble for 20 minutes. Step 4: Finish with remaining toppings and serve immediately.",1792,89g,243g,65g,(All-purpose flour; 50; grams; 182 kcal) | (Butter; 150; grams; 1076 kcal) | (Sugar (granulated); 50; grams; 194 kcal) | (Brown sugar; 15; grams; 57 kcal) | (Chocolate chips (semi-sweet); 50; grams; 240 kcal) | (Large egg; 30; grams; 43 kcal)
Avocado Toast (Style #111),Creamy smashed avocado over toasted whole wheat or simple bread alternatives.,5 mins,breakfast,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Avocado, All-purpose flour). Step 3: Cook or assemble for 5 minutes. Step 4: Finish with remaining toppings and serve immediately.",263,15g,31g,9g,(Avocado; 30; grams; 48 kcal) | (All-purpose flour; 15; grams; 55 kcal) | (Olive oil; 15; grams; 133 kcal) | (Tomato; 150; grams; 27 kcal)
Chicken Rice Bowl (Style #112),Lean grilled chicken breast served over fluffy white rice with a side of steamed broccoli.,17 mins,lunch,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Chicken breast (raw), White rice (uncooked)). Step 3: Cook or assemble for 17 minutes. Step 4: Finish with remaining toppings and serve immediately.",1728,81g,237g,40g,(Chicken breast (raw); 150; grams; 180 kcal) | (White rice (uncooked); 50; grams; 180 kcal) | (Broccoli; 100; grams; 34 kcal) | (Soy sauce; 15; grams; 8 kcal) | (Sesame oil; 150; grams; 1326 kcal)
Turkey Rice Casserole (Style #113),Savory ground turkey combined with wholesome brown rice and sweet green peas.,26 mins,dinner,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Ground turkey, Brown rice (uncooked)). Step 3: Cook or assemble for 26 minutes. Step 4: Finish with remaining toppings and serve immediately.",374,27g,40g,12g,(Ground turkey; 150; grams; 214 kcal) | (Brown rice (uncooked); 30; grams; 108 kcal) | (Green peas; 15; grams; 12 kcal) | (Yellow onion; 100; grams; 40 kcal)
Chia Seed Pudding (Style #114),Nutritious chia seeds soaked overnight in rich coconut milk and sweetened with maple syrup.,10 mins,snack,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Chia seeds, Coconut milk (canned)). Step 3: Cook or assemble for 10 minutes. Step 4: Finish with remaining toppings and serve immediately.",181,9g,23g,5g,(Chia seeds; 15; grams; 73 kcal) | (Coconut milk (canned); 15; grams; 30 kcal) | (Maple syrup; 30; grams; 78 kcal)
Dark Chocolate Berry Bark (Style #115),Decadent melted 70% dark chocolate topped with naturally sweet freeze-dried raspberries.,13 mins,dessert,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Dark chocolate (70%), Raspberries). Step 3: Cook or assemble for 13 minutes. Step 4: Finish with remaining toppings and serve immediately.",949,49g,119g,23g,(Dark chocolate (70%); 150; grams; 897 kcal) | (Raspberries; 100; grams; 52 kcal)
Classic French Toast (Style #116),"Golden pan-fried bread dipped in a rich, sweetened egg and dairy custard mixture.",9 mins,breakfast,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (All-purpose flour, Whole milk). Step 3: Cook or assemble for 9 minutes. Step 4: Finish with remaining toppings and serve immediately.",1875,106g,228g,45g,(All-purpose flour; 15; grams; 55 kcal) | (Whole milk; 150; grams; 92 kcal) | (Large egg; 50; grams; 72 kcal) | (Sugar (granulated); 150; grams; 580 kcal) | (Butter; 150; grams; 1076 kcal)
Tomato Zucchini Pasta (Style #117),Al dente spaghetti tossed with freshly sauteed garden zucchini and rich tomato paste.,19 mins,lunch,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Spaghetti (dry), Zucchini). Step 3: Cook or assemble for 19 minutes. Step 4: Finish with remaining toppings and serve immediately.",1655,80g,181g,62g,(Spaghetti (dry); 15; grams; 56 kcal) | (Zucchini; 50; grams; 8 kcal) | (Tomato paste; 50; grams; 41 kcal) | (Olive oil; 150; grams; 1326 kcal) | (Garlic; 150; grams; 224 kcal)
Chicken Alfredo Pasta (Style #118),Tender grilled chicken tossed with fettuccine or egg noodles in a rich heavy cream sauce.,27 mins,dinner,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Chicken breast (raw), Egg noodles (dry)). Step 3: Cook or assemble for 27 minutes. Step 4: Finish with remaining toppings and serve immediately.",1352,92g,157g,40g,(Chicken breast (raw); 50; grams; 60 kcal) | (Egg noodles (dry); 100; grams; 380 kcal) | (Heavy cream; 15; grams; 51 kcal) | (Parmesan cheese (grated); 150; grams; 646 kcal) | (Butter; 30; grams; 215 kcal)
Guacamole and Cucumber (Style #119),"Crisp, hydrating cucumber rounds used to scoop up creamy seasoned avocado mash.",9 mins,snack,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Avocado, Cucumber). Step 3: Cook or assemble for 9 minutes. Step 4: Finish with remaining toppings and serve immediately.",54,3g,6g,2g,(Avocado; 15; grams; 24 kcal) | (Cucumber; 100; grams; 15 kcal) | (Lime; 50; grams; 15 kcal)
Creamy Rice Pudding (Style #120),"Soft white rice simmered patiently in milk, sugar, and rich vanilla extract until thick.",35 mins,dessert,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (White rice (uncooked), Whole milk). Step 3: Cook or assemble for 35 minutes. Step 4: Finish with remaining toppings and serve immediately.",1233,58g,161g,28g,(White rice (uncooked); 150; grams; 540 kcal) | (Whole milk; 30; grams; 18 kcal) | (Sugar (granulated); 100; grams; 387 kcal) | (Vanilla extract; 100; grams; 288 kcal)
Avocado Toast (Style #121),Creamy smashed avocado over toasted whole wheat or simple bread alternatives.,5 mins,breakfast,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Avocado, All-purpose flour). Step 3: Cook or assemble for 5 minutes. Step 4: Finish with remaining toppings and serve immediately.",1281,74g,172g,48g,(Avocado; 15; grams; 24 kcal) | (All-purpose flour; 100; grams; 364 kcal) | (Olive oil; 100; grams; 884 kcal) | (Tomato; 50; grams; 9 kcal)
Chicken Rice Bowl (Style #122),Lean grilled chicken breast served over fluffy white rice with a side of steamed broccoli.,20 mins,lunch,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Chicken breast (raw), White rice (uncooked)). Step 3: Cook or assemble for 20 minutes. Step 4: Finish with remaining toppings and serve immediately.",953,68g,111g,32g,(Chicken breast (raw); 100; grams; 120 kcal) | (White rice (uncooked); 100; grams; 360 kcal) | (Broccoli; 15; grams; 5 kcal) | (Soy sauce; 50; grams; 26 kcal) | (Sesame oil; 50; grams; 442 kcal)
Beef and Broccoli Stir-Fry (Style #123),Tender strips of lean beef stir-fried with crisp broccoli florets in a savory soy sauce.,22 mins,dinner,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Sirloin steak (raw), Broccoli). Step 3: Cook or assemble for 22 minutes. Step 4: Finish with remaining toppings and serve immediately.",1494,71g,161g,40g,(Sirloin steak (raw); 50; grams; 71 kcal) | (Broccoli; 15; grams; 5 kcal) | (Soy sauce; 150; grams; 80 kcal) | (Ginger root; 15; grams; 12 kcal) | (Sesame oil; 150; grams; 1326 kcal)
Banana Almond Smoothie (Style #124),"A thick, satisfying blended snack featuring sweet banana, almond milk, and almond butter.",5 mins,snack,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Banana, Almond milk (unsweetened)). Step 3: Cook or assemble for 5 minutes. Step 4: Finish with remaining toppings and serve immediately.",185,13g,20g,6g,(Banana; 100; grams; 89 kcal) | (Almond milk (unsweetened); 30; grams; 4 kcal) | (Almond butter; 15; grams; 92 kcal)
Dark Chocolate Berry Bark (Style #125),Decadent melted 70% dark chocolate topped with naturally sweet freeze-dried raspberries.,11 mins,dessert,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Dark chocolate (70%), Raspberries). Step 3: Cook or assemble for 11 minutes. Step 4: Finish with remaining toppings and serve immediately.",187,11g,20g,6g,(Dark chocolate (70%); 30; grams; 179 kcal) | (Raspberries; 15; grams; 8 kcal)
Sweet Potato Hash (Style #126),"A nutritious, comforting morning skillet filled with cubed sweet potatoes and onions.",18 mins,breakfast,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Sweet potato, Yellow onion). Step 3: Cook or assemble for 18 minutes. Step 4: Finish with remaining toppings and serve immediately.",1406,74g,169g,34g,(Sweet potato; 50; grams; 43 kcal) | (Yellow onion; 15; grams; 6 kcal) | (Olive oil; 150; grams; 1326 kcal) | (Bell pepper (red); 100; grams; 31 kcal)
Spinach and Feta Salad (Style #127),Crisp spinach greens tossed with tangy crumbles of feta cheese and roasted sunflower seeds.,9 mins,lunch,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Spinach (raw), Feta cheese). Step 3: Cook or assemble for 9 minutes. Step 4: Finish with remaining toppings and serve immediately.",745,43g,86g,25g,(Spinach (raw); 50; grams; 12 kcal) | (Feta cheese; 50; grams; 132 kcal) | (Sunflower seeds (hulled); 50; grams; 292 kcal) | (Olive oil; 30; grams; 265 kcal) | (Balsamic vinegar; 50; grams; 44 kcal)
Turkey Rice Casserole (Style #128),Savory ground turkey combined with wholesome brown rice and sweet green peas.,28 mins,dinner,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Ground turkey, Brown rice (uncooked)). Step 3: Cook or assemble for 28 minutes. Step 4: Finish with remaining toppings and serve immediately.",331,22g,39g,8g,(Ground turkey; 100; grams; 143 kcal) | (Brown rice (uncooked); 30; grams; 108 kcal) | (Green peas; 50; grams; 40 kcal) | (Yellow onion; 100; grams; 40 kcal)
Mixed Nuts Energy Mix (Style #129),"A crunchy, nutrient-dense handful of whole almonds, walnuts, and toasted cashews.",5 mins,snack,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Almonds, Walnuts). Step 3: Cook or assemble for 5 minutes. Step 4: Finish with remaining toppings and serve immediately.",351,20g,47g,9g,(Almonds; 15; grams; 87 kcal) | (Walnuts; 15; grams; 98 kcal) | (Cashews; 30; grams; 166 kcal)
Sweet Maple Pumpkin Puree (Style #130),"A comforting, warm dessert bowl of smooth pumpkin sweetened elegantly with maple syrup.",5 mins,dessert,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Pumpkin (puree), Maple syrup). Step 3: Cook or assemble for 5 minutes. Step 4: Finish with remaining toppings and serve immediately.",617,24g,67g,22g,(Pumpkin (puree); 50; grams; 17 kcal) | (Maple syrup; 100; grams; 260 kcal) | (Heavy cream; 100; grams; 340 kcal)
Classic French Toast (Style #131),"Golden pan-fried bread dipped in a rich, sweetened egg and dairy custard mixture.",13 mins,breakfast,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (All-purpose flour, Whole milk). Step 3: Cook or assemble for 13 minutes. Step 4: Finish with remaining toppings and serve immediately.",1211,66g,131g,44g,(All-purpose flour; 100; grams; 364 kcal) | (Whole milk; 15; grams; 9 kcal) | (Large egg; 30; grams; 43 kcal) | (Sugar (granulated); 150; grams; 580 kcal) | (Butter; 30; grams; 215 kcal)
Egg Salad Salad (Style #132),Rich chopped hard-boiled eggs mashed with mayonnaise and served over fresh salad greens.,8 mins,lunch,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Large egg, Mayonnaise). Step 3: Cook or assemble for 8 minutes. Step 4: Finish with remaining toppings and serve immediately.",343,22g,40g,12g,(Large egg; 150; grams; 214 kcal) | (Mayonnaise; 15; grams; 102 kcal) | (Lettuce (romaine); 15; grams; 15 kcal) | (Yellow onion; 30; grams; 12 kcal)
Beef and Broccoli Stir-Fry (Style #133),Tender strips of lean beef stir-fried with crisp broccoli florets in a savory soy sauce.,20 mins,dinner,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Sirloin steak (raw), Broccoli). Step 3: Cook or assemble for 20 minutes. Step 4: Finish with remaining toppings and serve immediately.",302,14g,36g,10g,(Sirloin steak (raw); 50; grams; 71 kcal) | (Broccoli; 15; grams; 5 kcal) | (Soy sauce; 100; grams; 53 kcal) | (Ginger root; 50; grams; 40 kcal) | (Sesame oil; 15; grams; 133 kcal)
Cottage Cheese with Berries (Style #134),High-protein cottage cheese topped with fresh raspberries and a light honey drizzle.,5 mins,snack,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Cottage cheese, Raspberries). Step 3: Cook or assemble for 5 minutes. Step 4: Finish with remaining toppings and serve immediately.",335,25g,42g,13g,(Cottage cheese; 15; grams; 15 kcal) | (Raspberries; 30; grams; 16 kcal) | (Honey; 100; grams; 304 kcal)
Sweet Maple Pumpkin Puree (Style #135),"A comforting, warm dessert bowl of smooth pumpkin sweetened elegantly with maple syrup.",5 mins,dessert,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Pumpkin (puree), Maple syrup). Step 3: Cook or assemble for 5 minutes. Step 4: Finish with remaining toppings and serve immediately.",740,52g,78g,24g,(Pumpkin (puree); 30; grams; 10 kcal) | (Maple syrup; 150; grams; 390 kcal) | (Heavy cream; 100; grams; 340 kcal)
Cheesy Bacon Omelet (Style #136),A classic hearty three-egg omelet loaded with crispy bacon and melted cheddar.,6 mins,breakfast,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Large egg, Bacon (raw)). Step 3: Cook or assemble for 6 minutes. Step 4: Finish with remaining toppings and serve immediately.",1558,81g,210g,52g,(Large egg; 15; grams; 21 kcal) | (Bacon (raw); 100; grams; 417 kcal) | (Cheddar cheese; 100; grams; 403 kcal) | (Butter; 100; grams; 717 kcal)
Black Bean and Corn Bowl (Style #137),"A hearty vegetarian fiber bowl featuring black beans, sweet corn, and a bright lime dressing.",15 mins,lunch,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Black beans (canned), Corn (kernels)). Step 3: Cook or assemble for 15 minutes. Step 4: Finish with remaining toppings and serve immediately.",570,38g,70g,15g,(Black beans (canned); 150; grams; 136 kcal) | (Corn (kernels); 150; grams; 129 kcal) | (Bell pepper (green); 50; grams; 10 kcal) | (Olive oil; 30; grams; 265 kcal) | (Lime; 100; grams; 30 kcal)
Ribeye Steak and Potatoes (Style #138),"A premium, juicy ribeye steak seared to perfection and paired with a fluffy baked potato.",33 mins,dinner,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Ribeye steak (raw), Russet potato). Step 3: Cook or assemble for 33 minutes. Step 4: Finish with remaining toppings and serve immediately.",1417,105g,165g,41g,(Ribeye steak (raw); 150; grams; 436 kcal) | (Russet potato; 50; grams; 40 kcal) | (Butter; 100; grams; 717 kcal) | (Garlic; 150; grams; 224 kcal)
Cottage Cheese with Berries (Style #139),High-protein cottage cheese topped with fresh raspberries and a light honey drizzle.,5 mins,snack,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Cottage cheese, Raspberries). Step 3: Cook or assemble for 5 minutes. Step 4: Finish with remaining toppings and serve immediately.",279,13g,33g,9g,(Cottage cheese; 50; grams; 49 kcal) | (Raspberries; 150; grams; 78 kcal) | (Honey; 50; grams; 152 kcal)
Dark Chocolate Berry Bark (Style #140),Decadent melted 70% dark chocolate topped with naturally sweet freeze-dried raspberries.,10 mins,dessert,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Dark chocolate (70%), Raspberries). Step 3: Cook or assemble for 10 minutes. Step 4: Finish with remaining toppings and serve immediately.",187,14g,24g,6g,(Dark chocolate (70%); 30; grams; 179 kcal) | (Raspberries; 15; grams; 8 kcal)
Peanut Butter Banana Oats (Style #141),"Thick, creamy oatmeal swirled with rich peanut butter and sweet sliced banana.",5 mins,breakfast,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Rolled oats, Whole milk). Step 3: Cook or assemble for 5 minutes. Step 4: Finish with remaining toppings and serve immediately.",1053,48g,137g,24g,(Rolled oats; 30; grams; 114 kcal) | (Whole milk; 50; grams; 30 kcal) | (Peanut butter; 150; grams; 882 kcal) | (Banana; 30; grams; 27 kcal)
Quinoa Mediterranean Bowl (Style #142),"A refreshing whole-grain bowl mixed with cucumbers, tomatoes, and zesty feta cheese.",14 mins,lunch,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Quinoa (uncooked), Cucumber). Step 3: Cook or assemble for 14 minutes. Step 4: Finish with remaining toppings and serve immediately.",914,40g,113g,31g,(Quinoa (uncooked); 100; grams; 368 kcal) | (Cucumber; 150; grams; 22 kcal) | (Tomato; 15; grams; 3 kcal) | (Feta cheese; 30; grams; 79 kcal) | (Olive oil; 50; grams; 442 kcal)
Shrimp Scampi Noodles (Style #143),"Plump, juicy shrimp sauteed in a bright, savory garlic, lemon, and butter sauce over noodles.",16 mins,dinner,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Shrimp (raw), Egg noodles (dry)). Step 3: Cook or assemble for 16 minutes. Step 4: Finish with remaining toppings and serve immediately.",794,44g,101g,27g,(Shrimp (raw); 100; grams; 85 kcal) | (Egg noodles (dry); 150; grams; 570 kcal) | (Butter; 15; grams; 108 kcal) | (Garlic; 15; grams; 22 kcal) | (Lemon; 30; grams; 9 kcal)
Apple with Peanut Butter (Style #144),"Crisp, sweet apple slices paired perfectly with a serving of creamy peanut butter.",5 mins,snack,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Apple (with skin), Peanut butter). Step 3: Cook or assemble for 5 minutes. Step 4: Finish with remaining toppings and serve immediately.",666,41g,91g,17g,(Apple (with skin); 150; grams; 78 kcal) | (Peanut butter; 100; grams; 588 kcal)
Fudgy Cocoa Brownies (Style #145),"Rich, dense, and intensely chocolatey brownies made using dark cocoa powder.",23 mins,dessert,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Cocoa powder, Sugar (granulated)). Step 3: Cook or assemble for 23 minutes. Step 4: Finish with remaining toppings and serve immediately.",1784,126g,244g,44g,(Cocoa powder; 100; grams; 228 kcal) | (Sugar (granulated); 150; grams; 580 kcal) | (Butter; 50; grams; 358 kcal) | (All-purpose flour; 150; grams; 546 kcal) | (Large egg; 50; grams; 72 kcal)
Greek Yogurt Parfait (Style #146),"Thick Greek yogurt layered with raw oats, sweet berries, and a drizzle of organic honey.",6 mins,breakfast,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Greek yogurt (plain, non-fat), Rolled oats). Step 3: Cook or assemble for 6 minutes. Step 4: Finish with remaining toppings and serve immediately.",313,18g,35g,12g,"(Greek yogurt (plain, non-fat); 15; grams; 15 kcal) | (Rolled oats; 30; grams; 114 kcal) | (Blueberries; 150; grams; 85 kcal) | (Raspberries; 15; grams; 8 kcal) | (Honey; 30; grams; 91 kcal)"
Chicken Avocado Salad (Style #147),Crisp romaine lettuce tossed with tender grilled chicken breast and rich avocado chunks.,9 mins,lunch,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Chicken breast (raw), Avocado). Step 3: Cook or assemble for 9 minutes. Step 4: Finish with remaining toppings and serve immediately.",664,39g,91g,22g,(Chicken breast (raw); 100; grams; 120 kcal) | (Avocado; 30; grams; 48 kcal) | (Lettuce (romaine); 50; grams; 50 kcal) | (Olive oil; 50; grams; 442 kcal) | (Lemon; 15; grams; 4 kcal)
Garlic Butter Salmon (Style #148),Flaky pan-seared salmon fillet basted with a decadent garlic and herb butter sauce.,13 mins,dinner,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Salmon fillet (raw), Butter). Step 3: Cook or assemble for 13 minutes. Step 4: Finish with remaining toppings and serve immediately.",774,35g,95g,29g,(Salmon fillet (raw); 15; grams; 21 kcal) | (Butter; 100; grams; 717 kcal) | (Garlic; 15; grams; 22 kcal) | (Lemon; 50; grams; 14 kcal)
Cottage Cheese with Berries (Style #149),High-protein cottage cheese topped with fresh raspberries and a light honey drizzle.,5 mins,snack,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Cottage cheese, Raspberries). Step 3: Cook or assemble for 5 minutes. Step 4: Finish with remaining toppings and serve immediately.",359,23g,43g,9g,(Cottage cheese; 30; grams; 29 kcal) | (Raspberries; 50; grams; 26 kcal) | (Honey; 100; grams; 304 kcal)
Vanilla Berry Shortcake (Style #150),"Sweet, tender home-baked shortcake biscuits layered with berries and heavy cream.",23 mins,dessert,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (All-purpose flour, Heavy cream). Step 3: Cook or assemble for 23 minutes. Step 4: Finish with remaining toppings and serve immediately.",340,20g,45g,12g,(All-purpose flour; 15; grams; 55 kcal) | (Heavy cream; 15; grams; 51 kcal) | (Strawberries; 100; grams; 32 kcal) | (Sugar (granulated); 30; grams; 116 kcal) | (Vanilla extract; 30; grams; 86 kcal)
Sweet Potato Hash (Style #151),"A nutritious, comforting morning skillet filled with cubed sweet potatoes and onions.",19 mins,breakfast,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Sweet potato, Yellow onion). Step 3: Cook or assemble for 19 minutes. Step 4: Finish with remaining toppings and serve immediately.",955,47g,127g,34g,(Sweet potato; 50; grams; 43 kcal) | (Yellow onion; 30; grams; 12 kcal) | (Olive oil; 100; grams; 884 kcal) | (Bell pepper (red); 50; grams; 16 kcal)
Quinoa Mediterranean Bowl (Style #152),"A refreshing whole-grain bowl mixed with cucumbers, tomatoes, and zesty feta cheese.",19 mins,lunch,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Quinoa (uncooked), Cucumber). Step 3: Cook or assemble for 19 minutes. Step 4: Finish with remaining toppings and serve immediately.",1833,113g,187g,49g,(Quinoa (uncooked); 100; grams; 368 kcal) | (Cucumber; 15; grams; 2 kcal) | (Tomato; 30; grams; 5 kcal) | (Feta cheese; 50; grams; 132 kcal) | (Olive oil; 150; grams; 1326 kcal)
Beef and Broccoli Stir-Fry (Style #153),Tender strips of lean beef stir-fried with crisp broccoli florets in a savory soy sauce.,18 mins,dinner,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Sirloin steak (raw), Broccoli). Step 3: Cook or assemble for 18 minutes. Step 4: Finish with remaining toppings and serve immediately.",382,20g,44g,10g,(Sirloin steak (raw); 30; grams; 43 kcal) | (Broccoli; 100; grams; 34 kcal) | (Soy sauce; 30; grams; 16 kcal) | (Ginger root; 30; grams; 24 kcal) | (Sesame oil; 30; grams; 265 kcal)
Banana Almond Smoothie (Style #154),"A thick, satisfying blended snack featuring sweet banana, almond milk, and almond butter.",6 mins,snack,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Banana, Almond milk (unsweetened)). Step 3: Cook or assemble for 6 minutes. Step 4: Finish with remaining toppings and serve immediately.",336,22g,39g,9g,(Banana; 30; grams; 27 kcal) | (Almond milk (unsweetened); 15; grams; 2 kcal) | (Almond butter; 50; grams; 307 kcal)
Vanilla Berry Shortcake (Style #155),"Sweet, tender home-baked shortcake biscuits layered with berries and heavy cream.",19 mins,dessert,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (All-purpose flour, Heavy cream). Step 3: Cook or assemble for 19 minutes. Step 4: Finish with remaining toppings and serve immediately.",705,36g,83g,17g,(All-purpose flour; 100; grams; 364 kcal) | (Heavy cream; 15; grams; 51 kcal) | (Strawberries; 30; grams; 10 kcal) | (Sugar (granulated); 50; grams; 194 kcal) | (Vanilla extract; 30; grams; 86 kcal)
Cheesy Bacon Omelet (Style #156),A classic hearty three-egg omelet loaded with crispy bacon and melted cheddar.,12 mins,breakfast,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Large egg, Bacon (raw)). Step 3: Cook or assemble for 12 minutes. Step 4: Finish with remaining toppings and serve immediately.",606,25g,80g,14g,(Large egg; 15; grams; 21 kcal) | (Bacon (raw); 100; grams; 417 kcal) | (Cheddar cheese; 15; grams; 60 kcal) | (Butter; 15; grams; 108 kcal)
Egg Salad Salad (Style #157),Rich chopped hard-boiled eggs mashed with mayonnaise and served over fresh salad greens.,10 mins,lunch,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Large egg, Mayonnaise). Step 3: Cook or assemble for 10 minutes. Step 4: Finish with remaining toppings and serve immediately.",337,15g,46g,11g,(Large egg; 15; grams; 21 kcal) | (Mayonnaise; 30; grams; 204 kcal) | (Lettuce (romaine); 100; grams; 100 kcal) | (Yellow onion; 30; grams; 12 kcal)
Ribeye Steak and Potatoes (Style #158),"A premium, juicy ribeye steak seared to perfection and paired with a fluffy baked potato.",27 mins,dinner,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Ribeye steak (raw), Russet potato). Step 3: Cook or assemble for 27 minutes. Step 4: Finish with remaining toppings and serve immediately.",1024,48g,111g,32g,(Ribeye steak (raw); 50; grams; 146 kcal) | (Russet potato; 15; grams; 12 kcal) | (Butter; 100; grams; 717 kcal) | (Garlic; 100; grams; 149 kcal)
Spiced Roasted Chickpeas (Style #159),"Crunchy, oven-roasted garbanzo beans tossed in a drizzle of healthy olive oil.",27 mins,snack,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Chickpeas/Garbanzo (canned), Olive oil). Step 3: Cook or assemble for 27 minutes. Step 4: Finish with remaining toppings and serve immediately.",460,28g,53g,11g,(Chickpeas/Garbanzo (canned); 15; grams; 18 kcal) | (Olive oil; 50; grams; 442 kcal)
Classic Chocolate Chip Cookies (Style #160),"Warm, chewy homemade cookies packed generously with sweet semi-sweet chocolate chips.",18 mins,dessert,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (All-purpose flour, Butter). Step 3: Cook or assemble for 18 minutes. Step 4: Finish with remaining toppings and serve immediately.",1347,73g,169g,35g,(All-purpose flour; 15; grams; 55 kcal) | (Butter; 30; grams; 215 kcal) | (Sugar (granulated); 150; grams; 580 kcal) | (Brown sugar; 30; grams; 114 kcal) | (Chocolate chips (semi-sweet); 50; grams; 240 kcal) | (Large egg; 100; grams; 143 kcal)
Peanut Butter Banana Oats (Style #161),"Thick, creamy oatmeal swirled with rich peanut butter and sweet sliced banana.",10 mins,breakfast,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Rolled oats, Whole milk). Step 3: Cook or assemble for 10 minutes. Step 4: Finish with remaining toppings and serve immediately.",366,20g,42g,9g,(Rolled oats; 30; grams; 114 kcal) | (Whole milk; 50; grams; 30 kcal) | (Peanut butter; 15; grams; 88 kcal) | (Banana; 150; grams; 134 kcal)
Egg Salad Salad (Style #162),Rich chopped hard-boiled eggs mashed with mayonnaise and served over fresh salad greens.,8 mins,lunch,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Large egg, Mayonnaise). Step 3: Cook or assemble for 8 minutes. Step 4: Finish with remaining toppings and serve immediately.",821,36g,95g,28g,(Large egg; 15; grams; 21 kcal) | (Mayonnaise; 100; grams; 680 kcal) | (Lettuce (romaine); 100; grams; 100 kcal) | (Yellow onion; 50; grams; 20 kcal)
Turkey Rice Casserole (Style #163),Savory ground turkey combined with wholesome brown rice and sweet green peas.,29 mins,dinner,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Ground turkey, Brown rice (uncooked)). Step 3: Cook or assemble for 29 minutes. Step 4: Finish with remaining toppings and serve immediately.",620,39g,71g,17g,(Ground turkey; 150; grams; 214 kcal) | (Brown rice (uncooked); 100; grams; 360 kcal) | (Green peas; 50; grams; 40 kcal) | (Yellow onion; 15; grams; 6 kcal)
Yogurt Berry Crunch (Style #164),Smooth Greek yogurt topped with fresh blueberries and crunchy chia seeds.,5 mins,snack,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Greek yogurt (plain, non-fat), Blueberries). Step 3: Cook or assemble for 5 minutes. Step 4: Finish with remaining toppings and serve immediately.",772,41g,92g,28g,"(Greek yogurt (plain, non-fat); 15; grams; 15 kcal) | (Blueberries; 50; grams; 28 kcal) | (Chia seeds; 150; grams; 729 kcal)"
